zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
b_featured_a24_podcasts1,0.0013477088948787063,0.0027137042062415195,0.0025160339707687705,0.002370451372064229,0.0019863938313209443,19,14,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_a24_podcasts2,0.001364256480218281,0.0014367816091954023,0.0016206730612423586,0.0016019124579988286,0.0005530067054916632,18,49,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_apple_tv+1,0.02373887240356083,0.014705882352941176,0.05187752177788447,0.40413111240853805,0.03991158748031952,1,138,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.0,0.0
b_featured_apple_tv+2,0.025222551928783383,0.010294117647058823,0.049576052001794824,0.38350324347928494,0.03857726159327528,1,138,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.0,0.0
b_featured_apple_tv+_shows1,0.00741839762611276,0.008823529411764706,0.07585165103354692,0.6008033917645262,0.11240578886643955,1,138,0.0,0.0,2,0,5,0,0,0,0,0,1,0,18.705118,13611.981
b_featured_apple_tv+_shows2,0.001483679525222552,0.0058823529411764705,0.01279905334302882,0.09961574860275288,0.011437981933123603,1,138,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.0,0.0
b_featured_apple_tv1,0.140117994100295,0.33557951482479786,0.3793580752870353,0.40819739172416886,0.11521603372322509,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,0,1,0,0.5643352,410.6748
b_featured_apple_tv2,0.09144542772861357,0.2169811320754717,0.24866559200033692,0.26038000958955243,0.0792227745835728,17,8,572520.7179949913,0.8235294117647058,2,0,5,0,0,0,0,0,1,0,0.5122454,372.7683
b_featured_apple_tv:_movies1,0.4056047197640118,0.5633423180592992,1.0824024364191247,1.0558630036452512,1.0774201203341427,18,8,328275.7483288616,0.8888888888888888,2,0,5,0,0,0,0,0,1,0,0.86841726,631.95966
b_featured_apple_tv:_movies2,0.16666666666666666,0.4123989218328841,0.4231781165741725,0.5202780028899539,0.12369087433761085,16,8,572520.7179949913,0.875,2,0,5,0,0,0,0,0,1,0,0.600247,436.80835
b_featured_apple_tv_shows1,3.1430678466076696,2.1792452830188678,2.1749761925973385,2.5517101328625484,0.48911858411557113,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,0,1,0,3.09445,2251.8755
b_featured_apple_tv_shows2,0.8156342182890856,0.6428571428571429,0.7697747632440161,0.9006642740730201,0.06557669570723988,17,8,572520.7179949913,0.8235294117647058,2,0,5,0,0,0,0,0,1,0,1.0568043,769.0516
